YKR030W	GO:0005794
YOR044W	GO:0005789
YNL146W	GO:0005789
YNL012W	GO:0005789
YKR039W	GO:0005789
YHL028W	GO:0005789
YLR312C	GO:0005789
YOR152C	GO:0005789
YGR197C	GO:0005789
YKR030W	GO:0005789
YAL058W	GO:0005789
YOL088C	GO:0005783
YPL006W	GO:0005783
YOL020W	GO:0005783
YJL108C	GO:0005783
YOR044W	GO:0005783
YCR026C	GO:0005783
YIR014W	GO:0005783
YDR160W	GO:0005783
YNL146W	GO:0005783
YEL064C	GO:0005783
YBR054W	GO:0005783
YMR058W	GO:0005783
YBR054W	GO:0005783
YNL012W	GO:0005783
YKR039W	GO:0005783
YHL016C	GO:0005783
YMR258C	GO:0005783
YLR312C	GO:0005783
YOR152C	GO:0005783
YIR027C	GO:0005783
YGR197C	GO:0005783
YKR030W	GO:0005783
YAL058W	GO:0005783
YOL060C	GO:0005783
YDL027C	GO:0005783
YGR197C	GO:0005783_B
YKR030W	GO:0005783_B
YAL058W	GO:0005783_B
YOL060C	GO:0005783_B
YDL027C	GO:0005783_B
YOL088C	GO:0005783_A
YPL006W	GO:0005783_A
YOL020W	GO:0005783_A
YJL108C	GO:0005783_A
YOR044W	GO:0005783_A
YCR026C	GO:0005783_A
YIR014W	GO:0005783_A
YDR160W	GO:0005783_A
YNL146W	GO:0005783_A
YEL064C	GO:0005783_A
YBR054W	GO:0005783_A
YMR058W	GO:0005783_A
YBR054W	GO:0005783_A
YNL012W	GO:0005783_A
YKR039W	GO:0005783_A
YHL016C	GO:0005783_A
YMR258C	GO:0005783_A
YLR312C	GO:0005783_A
YOR152C	GO:0005783_A
YIR027C	GO:0005783_A
YGR168C	GO:0005777
YGR088W	GO:0005777
YPL006W	GO:0005774
YIR014W	GO:0005774
YJL172W	GO:0005774
YEL064C	GO:0005774
YMR088C	GO:0005774
YLR188W	GO:0005774
YJL100W	GO:0005774
YPR011C	GO:0005774
YOR087W	GO:0005774
YOL060C	GO:0005774
YOR292C	GO:0005774
YPL006W	GO:0005773
YIR014W	GO:0005773
YNL217W	GO:0005773
YJL172W	GO:0005773
YEL064C	GO:0005773
YBR139W	GO:0005773
YGR071C	GO:0005773
YMR088C	GO:0005773
YJL100W	GO:0005773
YGR071C	GO:0005773
YDR262W	GO:0005773
YOR087W	GO:0005773
YOL060C	GO:0005773
YOR292C	GO:0005773
YKR039W	GO:0005768
YJL100W	GO:0005768
YDR524C	GO:0005768
YLR204W	GO:0005763
YMR225C	GO:0005762
YIL098C	GO:0005759
YOR350C	GO:0005759
YOR022C	GO:0005759
YER073W	GO:0005759
YEL059C-A	GO:0005739
YJR085C	GO:0005739
YIL098C	GO:0005739
YDL086W	GO:0005739
YDR077W	GO:0005739
YPR134W	GO:0005739
YGR035C	GO:0005739
YBL098W	GO:0005739
YDR343C	GO:0005739
YBL064C	GO:0005739
YER115C	GO:0005739
YBR047W	GO:0005739
YBR230C	GO:0005739
YOR350C	GO:0005739
YKL084W	GO:0005739
YHL021C	GO:0005739
YHL014C	GO:0005739
YLR090W	GO:0005739
YGR286C	GO:0005739
YBR054W	GO:0005739
YMR003W	GO:0005739
YMR194C-B	GO:0005739
YGR052W	GO:0005739
YHR179W	GO:0005739
YBR054W	GO:0005739
YLR188W	GO:0005739
YDR342C	GO:0005739
YNL318C	GO:0005739
YOR228C	GO:0005739
YOR022C	GO:0005739
YPR011C	GO:0005739
YKL093W	GO:0005739
YER073W	GO:0005739
YDR031W	GO:0005739
YDR282C	GO:0005739
YNL249C	GO:0005739
YMR225C	GO:0005739
YLR204W	GO:0005739
YGL041W-A	GO:0005739
YMR252C	GO:0005739
YJL126W	GO:0005739
YMR038C	GO:0005739
YGR088W	GO:0005739
YBR208C	GO:0005739
YDL069C	GO:0005739
YPR133W-A	GO:0005739
YLR165C	GO:0005739
YDL029W	GO:0005739
YDL027C	GO:0005739
YBR129C	GO:0005739
YPR133W-A	GO:0005739_C
YLR165C	GO:0005739_C
YDL029W	GO:0005739_C
YDL027C	GO:0005739_C
YBR129C	GO:0005739_C
YMR003W	GO:0005739_B
YMR194C-B	GO:0005739_B
YGR052W	GO:0005739_B
YHR179W	GO:0005739_B
YBR054W	GO:0005739_B
YLR188W	GO:0005739_B
YDR342C	GO:0005739_B
YNL318C	GO:0005739_B
YOR228C	GO:0005739_B
YOR022C	GO:0005739_B
YPR011C	GO:0005739_B
YKL093W	GO:0005739_B
YER073W	GO:0005739_B
YDR031W	GO:0005739_B
YDR282C	GO:0005739_B
YNL249C	GO:0005739_B
YMR225C	GO:0005739_B
YLR204W	GO:0005739_B
YGL041W-A	GO:0005739_B
YMR252C	GO:0005739_B
YJL126W	GO:0005739_B
YMR038C	GO:0005739_B
YGR088W	GO:0005739_B
YBR208C	GO:0005739_B
YDL069C	GO:0005739_B
YEL059C-A	GO:0005739_A
YJR085C	GO:0005739_A
YIL098C	GO:0005739_A
YDL086W	GO:0005739_A
YDR077W	GO:0005739_A
YPR134W	GO:0005739_A
YGR035C	GO:0005739_A
YBL098W	GO:0005739_A
YDR343C	GO:0005739_A
YBL064C	GO:0005739_A
YER115C	GO:0005739_A
YBR047W	GO:0005739_A
YBR230C	GO:0005739_A
YOR350C	GO:0005739_A
YKL084W	GO:0005739_A
YHL021C	GO:0005739_A
YHL014C	GO:0005739_A
YLR090W	GO:0005739_A
YGR286C	GO:0005739_A
YBR054W	GO:0005739_A
YDL189W	GO:0005737
YLR094C	GO:0005737
YPL192C	GO:0005737
YDR034W-B	GO:0005737
YNL210W	GO:0005737
YLR231C	GO:0005737
YBR212W	GO:0005737
YDL086W	GO:0005737
YGL170C	GO:0005737
YHR035W	GO:0005737
YBR149W	GO:0005737
YLR271W	GO:0005737
YMR111C	GO:0005737
YMR175W	GO:0005737
YOR350C	GO:0005737
YNL217W	GO:0005737
YMR283C	GO:0005737
YLR341W	GO:0005737
YMR095C	GO:0005737
YNL015W	GO:0005737
YLR227C	GO:0005737
YFR047C	GO:0005737
YHL014C	GO:0005737
YJR096W	GO:0005737
YPR147C	GO:0005737
YKL069W	GO:0005737
YFL021W	GO:0005737
YLR090W	GO:0005737
YMR020W	GO:0005737
YJR133W	GO:0005737
YJR025C	GO:0005737
YGL159W	GO:0005737
YDL184C	GO:0005737
YHR182W	GO:0005737
YNL078W	GO:0005737
YLR254C	GO:0005737
YKL216W	GO:0005737
YGR052W	GO:0005737
YHR179W	GO:0005737
YLR262C-A	GO:0005737
YMR178W	GO:0005737
YML079W	GO:0005737
YMR250W	GO:0005737
YOR022C	GO:0005737
YBR020W	GO:0005737
YPL064C	GO:0005737
YKR041W	GO:0005737
YMR176W	GO:0005737
YOR280C	GO:0005737
YMR280C	GO:0005737
YJL100W	GO:0005737
YDR524C	GO:0005737
YDL184C	GO:0005737
YER079W	GO:0005737
YCR019W	GO:0005737
YHR104W	GO:0005737
YJR078W	GO:0005737
YMR175W	GO:0005737
YBR020W	GO:0005737
YMR258C	GO:0005737
YOL057W	GO:0005737
YDR106W	GO:0005737
YDR031W	GO:0005737
YLR189C	GO:0005737
YLR257W	GO:0005737
YNL134C	GO:0005737
YIR027C	GO:0005737
YOR129C	GO:0005737
YDL238C	GO:0005737
YBR046C	GO:0005737
YGR197C	GO:0005737
YPL273W	GO:0005737
YJL126W	GO:0005737
YMR038C	GO:0005737
YPL110C	GO:0005737
YGR088W	GO:0005737
YBR208C	GO:0005737
YGR017W	GO:0005737
